,Title,Year,Rating,Rating Count,url
tt0071562,The Godfather: Part II,1974,9.0,"1,116,547",https://www.imdb.com/title/tt0071562
tt0468569,The Dark Knight,2008,9.0,"2,277,620",https://www.imdb.com/title/tt0468569
tt0108052,Schindler's List,1993,8.9,"1,200,803",https://www.imdb.com/title/tt0108052
tt0109830,Forrest Gump,1994,8.8,"1,785,031",https://www.imdb.com/title/tt0109830
tt1375666,Inception,2010,8.7,"2,040,215",https://www.imdb.com/title/tt1375666
tt0133093,The Matrix,1999,8.6,"1,656,763",https://www.imdb.com/title/tt0133093
tt0120815,Saving Private Ryan,1998,8.5,"1,222,019",https://www.imdb.com/title/tt0120815
tt0245429,Spirited Away,2001,8.5,"640,780",https://www.imdb.com/title/tt0245429
tt0120689,The Green Mile,1999,8.5,"1,132,619",https://www.imdb.com/title/tt0120689
tt0110413,Léon: The Professional,1994,8.5,"1,023,630",https://www.imdb.com/title/tt0110413
tt0088763,Back to the Future,1985,8.5,"1,045,154",https://www.imdb.com/title/tt0088763
tt0054215,Psycho,1960,8.5,"598,067",https://www.imdb.com/title/tt0054215
tt0172495,Gladiator,2000,8.5,"1,326,950",https://www.imdb.com/title/tt0172495
tt0064116,Once Upon a Time in the West,1968,8.4,"299,870",https://www.imdb.com/title/tt0064116
tt1853728,Django Unchained,2012,8.4,"1,340,212",https://www.imdb.com/title/tt1853728
tt7286456,Joker,2019,8.4,"905,840",https://www.imdb.com/title/tt7286456
tt0119698,Princess Mononoke,1997,8.4,"338,064",https://www.imdb.com/title/tt0119698
tt1345836,The Dark Knight Rises,2012,8.3,"1,501,218",https://www.imdb.com/title/tt1345836
tt0169547,American Beauty,1999,8.3,"1,060,950",https://www.imdb.com/title/tt0169547
tt0361748,Inglourious Basterds,2009,8.3,"1,251,063",https://www.imdb.com/title/tt0361748
tt5074352,Dangal,2016,8.3,"152,949",https://www.imdb.com/title/tt5074352
tt0075314,Taxi Driver,1976,8.2,"715,788",https://www.imdb.com/title/tt0075314
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,"686,034",https://www.imdb.com/title/tt0097576
tt0071853,Monty Python and the Holy Grail,1975,8.2,"497,134",https://www.imdb.com/title/tt0071853
tt0372784,Batman Begins,2005,8.2,"1,295,602",https://www.imdb.com/title/tt0372784
tt0096283,My Neighbor Totoro,1988,8.1,"285,882",https://www.imdb.com/title/tt0096283
tt1130884,Shutter Island,2010,8.1,"1,115,146",https://www.imdb.com/title/tt1130884
tt0434409,V for Vendetta,2005,8.1,"1,023,642",https://www.imdb.com/title/tt0434409
tt0120382,The Truman Show,1998,8.1,"927,100",https://www.imdb.com/title/tt0120382
tt4729430,Klaus,2019,8.1,"83,021",https://www.imdb.com/title/tt4729430
tt2267998,Gone Girl,2014,8.1,"848,357",https://www.imdb.com/title/tt2267998
tt8108198,Andhadhun,2018,8.1,"69,401",https://www.imdb.com/title/tt8108198
tt0892769,How to Train Your Dragon,2010,8.1,"660,109",https://www.imdb.com/title/tt0892769
tt1392190,Mad Max: Fury Road,2015,8.1,"870,787",https://www.imdb.com/title/tt1392190
tt0052618,Ben-Hur,1959,8.1,"217,429",https://www.imdb.com/title/tt0052618
tt0079470,Monty Python's Life of Brian,1979,8.0,"363,965",https://www.imdb.com/title/tt0079470
tt0075148,Rocky,1976,8.0,"513,278",https://www.imdb.com/title/tt0075148
tt0087544,Nausicaä of the Valley of the Wind,1984,8.0,"148,478",https://www.imdb.com/title/tt0087544
tt0032976,Rebecca,1940,8.0,"122,583",https://www.imdb.com/title/tt0032976
tt4857264,The Invisible Guest,2016,8.0,"135,012",https://www.imdb.com/title/tt4857264
